"FECHA","NRO_FACTURA","DESCRIPCION","MONTO","TIPO"
08/09/2013,"023-032-0078735","STOCK",67090,"E"
10/09/2013,"005-002-0019611","FABIOLA",50000,"E"
10/09/2013,"023-030-0076466","STOCK",46150,"E"
14/09/2013,"013-001-0004666","ECOBAR",50000,"E"
14/09/2013,"001-001-0003610","MENDOZA",30000,"E"
18/09/2013,"007-001-0004813","ECOBAR",100000,"E"
18/09/2013,"001-001-0000741","LIPPEN",67000,"E"
22/09/2013,"023-003-0014739","GESTION DE SERVICIOS",200000,"E"
25/09/2013,"001-001-0000875","GRAN AZUL Y ORO",263500,"E"
27/09/2013,"013-001-0005274","ECOBAR",100000,"E"
28/09/2013,"001-001-0028738","NOVEX",181792,"E"
28/09/2013,"023-039-0049332","STOCK",403500,"E"
28/09/2013,"023-048-0061913","STOCK",76370,"E"
29/09/2013,"005-017-0747204","ESPANA SRL",200301,"E"
29/09/2013,"023-046-0063480","STOCK",113298,"E"
30/09/2013,"001-001-0002295","CIBB",1230000,"E"
30/09/2013,"013-001-0005394","ECOBAR",390000,"E"
30/09/2013,"001-001-0092280","ECORESA",300000,"E"
02/10/2013,"004-001-0010583","YVERA",10000,"E"
07/10/2013,"001-001-0002300","CIBB",198000,"E"
13/10/2013,"001-001-0000010","COPETIN DIEGUITO",108000,"E"
13/10/2013,"001-001-0001699","REBECA",15470,"E"
13/10/2013,"023-040-0028193","STOCK",40533,"E"
20/10/2013,"023-038-0065673","STOCK",52250,"E"
22/10/2013,"001-001-0001317","CIBB (Sin copia de factura en bibliorato)",14880000,"I"
22/10/2013,"112-046-0000964","COPACO",569500,"E"
22/10/2013,"001-001-0021959","LAURELTY",200000,"E"
25/10/2013,"001-001-0014475","GRUPO VALENTINA",100000,"E"
26/10/2013,"001-001-0014604","MONSERRAT",30000,"E"
30/10/2013,"013-001-0012942","ECOBAR",100000,"E"
05/11/2013,"001-001-0004954","LIBRERÍA CFA",79050,"E"
05/11/2013,"001-001-0002794","PETROSUR",50000,"E"
06/11/2013,"001-004-0019470","LUJAN COMERCIAL",54500,"E"
06/11/2013,"001-015-0359343","SALEMMA",44800,"E"
07/11/2013,"013-001-0013422","ECOBAR",100000,"E"
07/11/2013,"001-001-0034943","ELECTRO SANIFER",58000,"E"
11/11/2013,"001-001-0015829","GRUPO VALENTINA",200000,"E"
19/11/2013,"001-001-0016750","MONSERRAT",50000,"E"
21/11/2013,"068-003-0000064","GESTION DE SERVICIOS",200000,"E"
27/11/2013,"001-001-0006759","COPETROL",40000,"E"
30/11/2013,"013-001-0015300","ECOBAR",60000,"E"
30/11/2013,"001-001-0017148","MONSERRAT",60000,"E"
30/11/2013,"001-001-0001066","PLANETA FUTBOL",225000,"E"
02/12/2013,"045-004-0043394","PETROSUR",200000,"E"
06/12/2013,"001-021-0303879","ANDE",739000,"E"
06/12/2013,"001-001-0004120","COMERCIAL SAN LORENZO",220000,"E"
06/12/2013,"001-082-0063547","MACHETAZO",249910,"E"
09/12/2013,"028-003-0037124","GESTION DE SERVICIOS",50000,"E"
10/12/2013,"003-001-0002134","EMR",50000,"E"
11/12/2013,"013-001-0006571","ECOBAR",100000,"E"
12/12/2013,"001-001-0004775","CONELEC",480000,"E"
12/12/2013,"001-001-0018474","MONSERRAT",100000,"E"
14/12/2013,"013-003-0035751","GESTION DE SERVICIOS",100000,"E"
18/12/2013,"002-001-0005879","PETROSUR",50000,"E"
21/12/2013,"001-001-0002800","REBECA",1214000,"E"
21/12/2013,"001-001-0002842","REBECA",244500,"E"
22/12/2013,"002-001-0000001","IBB",1600000,"E"
22/12/2013,"002-001-0000001","IBB",49763850,"I"
22/12/2013,"002-001-0000002","IBB",3416667,"E"
22/12/2013,"002-001-0000002","IBB",7237600,"I"
